Państwo#Złote#Srebrne#Brązowe#Razem
Norwegia#16#8#13#37
Niemcy#12#10#4#26
Chińska Republika Ludowa#9#4#2#15
Stany Zjednoczone#8#10#7#25
Szwecja#8#5#5#18
Holandia#8#5#4#17
Austria#7#7#4#14
Szwajcaria#7#2#6#15
Rosyjski Komitet Olimpijski#6#12#14#32
Francja#5#7#2#14
